,full_rating,full_score,rank,title,url,series,series_no,avg_rating,rating_count,total_score,score_votes
20," 4.13 avg rating — 26,705 ratings","
score: 5,933,
              and
64 people voted
               
              
            ",21,"To Say Nothing of the Dog (Oxford Time Travel, #2)",/book/show/77773.To_Say_Nothing_of_the_Dog,Oxford Time Travel,2,4.13," 26,705","5,933",64
21," 4.29 avg rating — 18,831 ratings","
score: 5,698,
              and
61 people voted
               
              
            ",22,"The Warrior's Apprentice (Vorkosigan Saga, #2)",/book/show/61906.The_Warrior_s_Apprentice,Vorkosigan Saga,2,4.29," 18,831","5,698",61
22," 4.31 avg rating — 20,045 ratings","
score: 5,046,
              and
54 people voted
               
              
            ",23,"Barrayar (Vorkosigan Saga, #7)",/book/show/61905.Barrayar,Vorkosigan Saga,7,4.31," 20,045","5,046",54
23," 3.84 avg rating — 793,665 ratings","
score: 5,012,
              and
53 people voted
               
              
            ",24,"The Host (The Host, #1)",/book/show/1656001.The_Host,The Host,1,3.84," 793,665","5,012",53
24," 4.06 avg rating — 979,341 ratings","
score: 4,899,
              and
54 people voted
               
              
            ",25,"Insurgent (Divergent, #2)",/book/show/11735983-insurgent,Divergent,2,4.06," 979,341","4,899",54
25," 3.69 avg rating — 33,313 ratings","
score: 4,413,
              and
48 people voted
               
              
            ",26,The Children of Men,/book/show/41913.The_Children_of_Men,,,3.69," 33,313","4,413",48
26," 4.44 avg rating — 12,743 ratings","
score: 4,398,
              and
48 people voted
               
              
            ",27,"Memory (Vorkosigan Saga, #10)",/book/show/61880.Memory,Vorkosigan Saga,10,4.44," 12,743","4,398",48
27," 3.88 avg rating — 1,466 ratings","
score: 4,394,
              and
45 people voted
               
              
            ",28,"Starshine: Aurora Rising Book One (Aurora Rhapsody, #1)",/book/show/21534331-starshine,Aurora Rhapsody,1,3.88," 1,466","4,394",45
28," 4.08 avg rating — 16,555 ratings","
score: 4,249,
              and
47 people voted
               
              
            ",29,"Crystal Singer (Crystal Singer, #1)",/book/show/653711.Crystal_Singer,Crystal Singer,1,4.08," 16,555","4,249",47
29," 4.06 avg rating — 81,801 ratings","
score: 4,245,
              and
46 people voted
               
              
            ",30,"The Year of the Flood  (MaddAddam, #2)",/book/show/6080337-the-year-of-the-flood,MaddAddam,2,4.06," 81,801","4,245",46
30," 4.32 avg rating — 15,929 ratings","
score: 3,931,
              and
45 people voted
               
              
            ",31,"Mirror Dance (Vorkosigan Saga, #8)",/book/show/61909.Mirror_Dance,Vorkosigan Saga,8,4.32," 15,929","3,931",45
31," 4.21 avg rating — 11,887 ratings","
score: 3,748,
              and
42 people voted
               
              
            ",32,"Wild Seed (Patternmaster, #1)",/book/show/52318.Wild_Seed,Patternmaster,1,4.21," 11,887","3,748",42
32," 4.28 avg rating — 17,287 ratings","
score: 3,706,
              and
44 people voted
               
              
            ",33,"The Vor Game (Vorkosigan Saga, #6)",/book/show/68483.The_Vor_Game,Vorkosigan Saga,6,4.28," 17,287","3,706",44
